scenario,mag,mag1,beta,siI,t0,t1,t2,t3,t4,pS,pS2,pS3,pID,lambda,hosp,cc,hosp2,cc2,hosp3,cc3
1,0,0.25,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
2,0.4,0.25,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
3,0.5,0.25,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
4,0.6,0.25,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
5,0.7,0.25,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
6,0.8,0.25,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
7,0,0.5,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
8,0.4,0.5,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
9,0.5,0.5,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
10,0.6,0.5,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
11,0.7,0.5,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
12,0.8,0.5,0.4133,0.3787,4,45,57,65,97,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
13,0,0.25,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
14,0.4,0.25,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
15,0.5,0.25,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
16,0.6,0.25,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
17,0.7,0.25,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
18,0.8,0.25,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
19,0,0.5,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
20,0.4,0.5,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
21,0.5,0.5,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
22,0.6,0.5,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
23,0.7,0.5,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
24,0.8,0.5,0.4133,0.3787,4,45,57,65,111,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
25,0,0.25,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
26,0.4,0.25,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
27,0.5,0.25,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
28,0.6,0.25,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
29,0.7,0.25,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
30,0.8,0.25,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
31,0,0.5,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
32,0.4,0.5,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
33,0.5,0.5,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
34,0.6,0.5,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
35,0.7,0.5,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
36,0.8,0.5,0.4133,0.3787,4,45,57,65,125,0.17966,0.47101,0.78679,0.277,2.268,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389
