scenalpha,scenario,mag,mag1,mag13,beta,siI,siI1,ramp,t1,t2,t3,t4,t5,pS,pS2,pS3,pID,lambda,hosp,cc,hosp2,cc2,hosp3,cc3,maska
A,1,0.35,0.35,0.35,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
A,2,0.45,0.45,0.45,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
A,3,0.55,0.55,0.55,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
A,4,0.6,0.6,0.6,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
A,5,0.65,0.65,0.65,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
B,6,0.35,0.35,0.765,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
B,7,0.45,0.45,0.765,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
B,8,0.55,0.55,0.765,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
B,9,0.6,0.6,0.765,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
B,10,0.65,0.65,0.765,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
C,11,0.45,0.45,0.45,0.5,0.4697,0.48773,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
C,12,0.55,0.55,0.55,0.5,0.4697,0.48773,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
C,13,0.65,0.65,0.65,0.5,0.4697,0.48773,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
D,14,0.45,0.45,0.45,0.5,0.4697,0.4697,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
D,15,0.55,0.55,0.55,0.5,0.4697,0.4697,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
D,16,0.65,0.65,0.65,0.5,0.4697,0.4697,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
E,17,0.45,0.45,0.45,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
E,18,0.55,0.55,0.55,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
E,19,0.65,0.65,0.65,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F,20,0.45,0.45,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F,21,0.55,0.55,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F,22,0.65,0.65,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F-,23,0.45,0.6,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,130,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F-,24,0.45,0.65,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,130,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F-,25,0.45,0.6,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
F-,26,0.45,0.65,0.765,0.5,0.4697,0.48773,0.0053,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,0.8667
Ref,27,0.765,0.765,0.765,0.5,0.4697,0.4697,0,41,53,62,94,144,0.17966,0.47101,0.78679,0.33,1.502,0.005803406,0.00029017,0.058656,0.004456,0.205394,0.079389,1
