date,theta,t,theta2
1/24/2020,0,0,0
1/25/2020,0,1,0
1/26/2020,0,2,0
1/27/2020,0,3,0
1/28/2020,0,4,0
1/29/2020,0,5,0
1/30/2020,0,6,0
1/31/2020,0,7,0
2/1/2020,0,8,0
2/2/2020,0,9,0
2/3/2020,0,10,0
2/4/2020,0,11,0
2/5/2020,0,12,0
2/6/2020,0,13,0
2/7/2020,0,14,0
2/8/2020,0,15,0
2/9/2020,0,16,0
2/10/2020,0,17,0
2/11/2020,0,18,0
2/12/2020,0,19,0
2/13/2020,0,20,0
2/14/2020,0,21,0
2/15/2020,0,22,0
2/16/2020,0,23,0
2/17/2020,0,24,0
2/18/2020,0,25,0
2/19/2020,0,26,0
2/20/2020,0,27,0
2/21/2020,0,28,0
2/22/2020,0,29,0
2/23/2020,0,30,0
2/24/2020,0,31,0
2/25/2020,0,32,0
2/26/2020,0,33,0
2/27/2020,0,34,0
2/28/2020,0,35,0
2/29/2020,0,36,0
3/1/2020,0,37,0
3/2/2020,0,38,0
3/3/2020,0,39,0
3/4/2020,0,40,0
3/5/2020,0,41,0
3/6/2020,0,42,0
3/7/2020,0,43,0
3/8/2020,0,44,0
3/9/2020,0,45,0
3/10/2020,0,46,0
3/11/2020,0,47,0
3/12/2020,0,48,0
3/13/2020,0,49,0
3/14/2020,0,50,0
3/15/2020,0,51,0
3/16/2020,0,52,0
3/17/2020,0,53,0
3/18/2020,0,54,0
3/19/2020,0,55,0
3/20/2020,0,56,0
3/21/2020,0,57,0
3/22/2020,0,58,0
3/23/2020,0,59,0
3/24/2020,0,60,0
3/25/2020,0,61,0
3/26/2020,0,62,0
3/27/2020,0,63,0
3/28/2020,0,64,0
3/29/2020,0,65,0
3/30/2020,0,66,0
3/31/2020,0,67,0
4/1/2020,0,68,0
4/2/2020,0,69,0
4/3/2020,0,70,0
4/4/2020,0,71,0
4/5/2020,0,72,0
4/6/2020,0,73,0
4/7/2020,0,74,0
4/8/2020,0,75,0
4/9/2020,0,76,0
4/10/2020,0,77,0
4/11/2020,0,78,0
4/12/2020,0,79,0
4/13/2020,0,80,0
4/14/2020,0,81,0
4/15/2020,0,82,0
4/16/2020,0,83,0
4/17/2020,0,84,0
4/18/2020,0,85,0
4/19/2020,0,86,0
4/20/2020,0,87,0
4/21/2020,0,88,0
4/22/2020,0,89,0
4/23/2020,0,90,0
4/24/2020,0,91,0
4/25/2020,0,92,0
4/26/2020,0,93,0
4/27/2020,0,94,0
4/28/2020,0,95,0
4/29/2020,0,96,0
4/30/2020,0,97,0
5/1/2020,0,98,0
5/2/2020,0,99,0
5/3/2020,0,100,0
5/4/2020,0,101,0
5/5/2020,0,102,0
5/6/2020,0,103,0
5/7/2020,0,104,0
5/8/2020,0,105,0
5/9/2020,0,106,0
5/10/2020,0,107,0
5/11/2020,0,108,0
5/12/2020,0,109,0
5/13/2020,0,110,0
5/14/2020,0,111,0
5/15/2020,0,112,0
5/16/2020,0,113,0
5/17/2020,0,114,0
5/18/2020,0,115,0
5/19/2020,0,116,0
5/20/2020,0,117,0
5/21/2020,0,118,0
5/22/2020,0,119,0
5/23/2020,0,120,0
5/24/2020,0,121,0
5/25/2020,0,122,0
5/26/2020,0,123,0
5/27/2020,0,124,0
5/28/2020,0,125,0
5/29/2020,0,126,0
5/30/2020,0,127,0
5/31/2020,0,128,0
6/1/2020,0,129,0
6/2/2020,0,130,0
6/3/2020,0,131,0
6/4/2020,0,132,0
6/5/2020,0,133,0
6/6/2020,0,134,0
6/7/2020,0,135,0
6/8/2020,0,136,0
6/9/2020,0,137,0
6/10/2020,0,138,0
6/11/2020,0,139,0
6/12/2020,0,140,0
6/13/2020,0,141,0
6/14/2020,0,142,0
6/15/2020,0,143,0
6/16/2020,0,144,0
6/17/2020,0,145,0
6/18/2020,0,146,0
6/19/2020,0,147,0
6/20/2020,0,148,0
6/21/2020,0,149,0
6/22/2020,0,150,0
6/23/2020,0,151,0
6/24/2020,0,152,0
6/25/2020,0,153,0
6/26/2020,0,154,0
6/27/2020,0,155,0
6/28/2020,0,156,0
6/29/2020,0,157,0
6/30/2020,0,158,0
7/1/2020,0,159,0
7/2/2020,0,160,0
7/3/2020,0,161,0
7/4/2020,0,162,0
7/5/2020,0,163,0
7/6/2020,0,164,0
7/7/2020,0,165,0
7/8/2020,0,166,0
7/9/2020,0,167,0
7/10/2020,0,168,0
7/11/2020,0,169,0
7/12/2020,0,170,0
7/13/2020,0,171,0
7/14/2020,0,172,0
7/15/2020,0,173,0
7/16/2020,0,174,0
7/17/2020,0,175,0
7/18/2020,0,176,0
7/19/2020,0,177,0
7/20/2020,0,178,0
