scenalpha,scen,Vaccap,scenario,mag1,mag2,mag2a,mag3,mag3a,mag4,mag5,mag6,mag6a,mag6b,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,mag22,traj,ef1_2,ef1_3,ef1_4,ef1_5,t1,t2,t2a,t3,t3a,t4,t5,t6,t6a,t6b,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,ttraj,tproject,tpa,tpb,tpc,pS1,pS2,pS3,pS4,lambda,beta,hosp1,hosp2,hosp3,hosp4,hosp2b,hosp2c,hosp3b,hosp3c,hosp4b,hosp4c,dh1,dh2,dh3,dh4,dnh1,dnh2,dnh3,dnh4,hlos1,hlos2,hlos3,hlos4,hlos1a,hlos2a,hlos3a,hlos4a,vac1,vac2,vac3,vac4,vac1a,vac2a,vac3a,vac4a,vac1b,vac2b,vac3b,vac4b,vac1c,vac2c,vac3c,vac4c,vac1d,vac2d,vac3d,vac1e,vac2e,vac3e,tv1,tv2,tv3,tv4,tv5,tv6,tvacend,vj1,vj2,vj3,vj4,vj1a,vj2a,vj3a,vj1b,vj2b,vj3b,tvja,tvjb,vd,dimmuneA,dimmuneI,n1,n2,n3,n4,hosp3v1,hosp4v1,dh3v1,dh4v1,dnh3v1,dnh4v1,hosp3v2,hosp4v2,dh3v2,dh4v2,dnh3v2,dnh4v2,hosp3v3,hosp4v3,dh3v3,dh4v3,dnh3v3,dnh4v3,hosp3v4,hosp4v4,dh3v4,dh4v4,dnh3v4,dnh4v4
Current V1,No B.1.1.7,80%,1,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.7677,0.7677,0.7677,0.7677,0.7677,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7459.34,9324.18,21.46,86.85714286,7459.34,9324.18,86.85714286,7459.34,9324.18,327,375,402,413,500,500,500,639.5714286,2572.888889,3216.111111,0,639.5714286,6153.84127,7692.301587,7393.059048,6299.742598,792.9126396,410,468,5000,190,365,1513005,1685869,1902963,738958,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486
70% TC - V1,No B.1.1.7,80%,2,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.7677,0.7,0.7,0.7,0.7,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7459.34,9324.18,21.46,86.85714286,7459.34,9324.18,86.85714286,7459.34,9324.18,327,375,402,413,500,500,500,639.5714286,2572.888889,3216.111111,0,639.5714286,6153.84127,7692.301587,7393.059048,6299.742598,792.9126396,410,468,5000,190,365,1513005,1685869,1902963,738958,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486
60% TC - V1,No B.1.1.7,80%,3,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.7677,0.6,0.6,0.6,0.6,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7459.34,9324.18,21.46,86.85714286,7459.34,9324.18,86.85714286,7459.34,9324.18,327,375,402,413,500,500,500,639.5714286,2572.888889,3216.111111,0,639.5714286,6153.84127,7692.301587,7393.059048,6299.742598,792.9126396,410,468,5000,190,365,1513005,1685869,1902963,738958,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486
Current V1,B.1.1.7,80%,4,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.765377,0.75436507,0.723866735,0.68300739,0.663424618,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7459.34,9324.18,21.46,86.85714286,7459.34,9324.18,86.85714286,7459.34,9324.18,327,375,402,413,500,500,500,639.5714286,2572.888889,3216.111111,0,639.5714286,6153.84127,7692.301587,7393.059048,6299.742598,792.9126396,410,468,5000,190,365,1513005,1685869,1902963,738958,0.0464,0.07357,0.06015,0.16794,0.00087,0.03277,0.051,0.08096,0.06619,0.18481,0.00102,0.03834,0.0573,0.09085,0.07429,0.2074,0.00122,0.04581,0.0603,0.0956,0.07817,0.21823,0.00131,0.04939
70% TC - V1,B.1.1.7,80%,5,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.765377,0.6828,0.6434,0.5906,0.5653,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7459.34,9324.18,21.46,86.85714286,7459.34,9324.18,86.85714286,7459.34,9324.18,327,375,402,413,500,500,500,639.5714286,2572.888889,3216.111111,0,639.5714286,6153.84127,7692.301587,7393.059048,6299.742598,792.9126396,410,468,5000,190,365,1513005,1685869,1902963,738958,0.0464,0.07357,0.06015,0.16794,0.00087,0.03277,0.051,0.08096,0.06619,0.18481,0.00102,0.03834,0.0573,0.09085,0.07429,0.2074,0.00122,0.04581,0.0603,0.0956,0.07817,0.21823,0.00131,0.04939
60% TC - V1,B.1.1.7,80%,6,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.765377,0.577,0.5245,0.4542,0.4204,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7459.34,9324.18,21.46,86.85714286,7459.34,9324.18,86.85714286,7459.34,9324.18,327,375,402,413,500,500,500,639.5714286,2572.888889,3216.111111,0,639.5714286,6153.84127,7692.301587,7393.059048,6299.742598,792.9126396,410,468,5000,190,365,1513005,1685869,1902963,738958,0.0464,0.07357,0.06015,0.16794,0.00087,0.03277,0.051,0.08096,0.06619,0.18481,0.00102,0.03834,0.0573,0.09085,0.07429,0.2074,0.00122,0.04581,0.0603,0.0956,0.07817,0.21823,0.00131,0.04939
Current V2,No B.1.1.7,80%,7,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.7677,0.7677,0.7677,0.7677,0.7677,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7425.421658,9281.777072,97.78412698,86.85714286,12659.80952,15824.7619,86.85714286,15118.73016,16937.26984,327,375,402,413,431,448,500,639.5714286,2572.888889,3216.111111,0,13553.62998,932.0843025,0,13553.62998,932.0843025,0,410,468,5000,190,365,1513005,1685869,1902963,738958,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486
70% TC - V2,No B.1.1.7,80%,8,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.7677,0.7,0.7,0.7,0.7,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7425.421658,9281.777072,97.78412698,86.85714286,12659.80952,15824.7619,86.85714286,15118.73016,16937.26984,327,375,402,413,431,448,500,639.5714286,2572.888889,3216.111111,0,13553.62998,932.0843025,0,13553.62998,932.0843025,0,410,468,5000,190,365,1513005,1685869,1902963,738958,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486
60% TC - V2,No B.1.1.7,80%,9,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.7677,0.6,0.6,0.6,0.6,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7425.421658,9281.777072,97.78412698,86.85714286,12659.80952,15824.7619,86.85714286,15118.73016,16937.26984,327,375,402,413,431,448,500,639.5714286,2572.888889,3216.111111,0,13553.62998,932.0843025,0,13553.62998,932.0843025,0,410,468,5000,190,365,1513005,1685869,1902963,738958,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486,0.044348,0.0703384,0.057513214,0.160570555,0.000806091,0.030330486
Current V2,B.1.1.7,80%,10,0,0.6719,0.8134,0.8215,0.8411,0.8896,0.8868,0.9117,0.7579,0.611,0.8169,0.8311,0.8226,0.7912,0.7601,0.7055,0.6861,0.6102,0.6648,0.7072,0.8446,0.8452,0.8216,0.7809,0.8687,0.7677,0.765377,0.75436507,0.723866735,0.68300739,0.663424618,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,374,391,407,427,447,467,0.110023,0.35705,0.561205,0.774879,1.395,0.4793,0.0227054,0.03656527,0.050782,0.0789884,0.03747127,0.03500127,0.049972,0.044348,0.0724784,0.0703384,0.005504587,0.014716188,0.057513214,0.160570555,0.0000158,0.0000979,0.000806091,0.030330486,5.8303,6.366447985,10.54149451,10.53665902,5.5747,5.231230631,8.486187615,8.136581647,43.27083333,2088.729167,2575.604167,4975.833333,70,2446.321429,3823,9317.928571,86.85714286,2324.714286,3704,8966.428571,86.85714286,7425.421658,9281.777072,97.78412698,86.85714286,12659.80952,15824.7619,86.85714286,15118.73016,16937.26984,327,375,402,413,431,448,500,639.5714286,2572.888889,3216.111111,0,13553.62998,932.0843025,0,13553.62998,932.0843025,0,410,468,5000,190,365,1513005,1685869,1902963,738958,0.0464,0.07357,0.06015,0.16794,0.00087,0.03277,0.051,0.08096,0.06619,0.18481,0.00102,0.03834,0.0573,0.09085,0.07429,0.2074,0.00122,0.04581,0.0603,0.0956,0.07817,0.21823,0.00131,0.04939
