t,group,first_shot_rate,immun_gain,immun_loss,rel_inf_prob_mult,pS_mult,hosp_mult,dnh_mult,dh_mult
0,0-19,0,0,0,1,1,1,1,1
0,20-39,0,0,0,1,1,1,1,1
0,40-64,0,0,0,1,1,1,1,1
0,65+,0,0,0,1,1,1,1,1
1,0-19,0,0,0,1,1,1,1,1
1,20-39,0,0,0,1,1,1,1,1
1,40-64,0,0,0,1,1,1,1,1
1,65+,0,0,0,1,1,1,1,1
2,0-19,0,0,0,1,1,1,1,1
2,20-39,0,0,0,1,1,1,1,1
2,40-64,0,0,0,1,1,1,1,1
2,65+,0,0,0,1,1,1,1,1
3,0-19,0,0,0,1,1,1,1,1
3,20-39,0,0,0,1,1,1,1,1
3,40-64,0,0,0,1,1,1,1,1
3,65+,0,0,0,1,1,1,1,1
4,0-19,0,0,0,1,1,1,1,1
4,20-39,0,0,0,1,1,1,1,1
4,40-64,0,0,0,1,1,1,1,1
4,65+,0,0,0,1,1,1,1,1
5,0-19,0,0,0,1,1,1,1,1
5,20-39,0,0,0,1,1,1,1,1
5,40-64,0,0,0,1,1,1,1,1
5,65+,0,0,0,1,1,1,1,1
6,0-19,0,0,0,1,1,1,1,1
6,20-39,0,0,0,1,1,1,1,1
6,40-64,0,0,0,1,1,1,1,1
6,65+,0,0,0,1,1,1,1,1
7,0-19,0,0,0,1,1,1,1,1
7,20-39,0,0,0,1,1,1,1,1
7,40-64,0,0,0,1,1,1,1,1
7,65+,0,0,0,1,1,1,1,1
8,0-19,0,0,0,1,1,1,1,1
8,20-39,0,0,0,1,1,1,1,1
8,40-64,0,0,0,1,1,1,1,1
8,65+,0,0,0,1,1,1,1,1
9,0-19,0,0,0,1,1,1,1,1
9,20-39,0,0,0,1,1,1,1,1
9,40-64,0,0,0,1,1,1,1,1
9,65+,0,0,0,1,1,1,1,1
10,0-19,0,0,0,1,1,1,1,1
10,20-39,0,0,0,1,1,1,1,1
10,40-64,0,0,0,1,1,1,1,1
10,65+,0,0,0,1,1,1,1,1
11,0-19,0,0,0,1,1,1,1,1
11,20-39,0,0,0,1,1,1,1,1
11,40-64,0,0,0,1,1,1,1,1
11,65+,0,0,0,1,1,1,1,1
12,0-19,0,0,0,1,1,1,1,1
12,20-39,0,0,0,1,1,1,1,1
12,40-64,0,0,0,1,1,1,1,1
12,65+,0,0,0,1,1,1,1,1
13,0-19,0,0,0,1,1,1,1,1
13,20-39,0,0,0,1,1,1,1,1
13,40-64,0,0,0,1,1,1,1,1
13,65+,0,0,0,1,1,1,1,1
14,0-19,0,0,0,1,1,1,1,1
14,20-39,0,0,0,1,1,1,1,1
14,40-64,0,0,0,1,1,1,1,1
14,65+,0,0,0,1,1,1,1,1
15,0-19,0,0,0,1,1,1,1,1
15,20-39,0,0,0,1,1,1,1,1
15,40-64,0,0,0,1,1,1,1,1
15,65+,0,0,0,1,1,1,1,1
16,0-19,0,0,0,1,1,1,1,1
16,20-39,0,0,0,1,1,1,1,1
16,40-64,0,0,0,1,1,1,1,1
16,65+,0,0,0,1,1,1,1,1
17,0-19,0,0,0,1,1,1,1,1
17,20-39,0,0,0,1,1,1,1,1
17,40-64,0,0,0,1,1,1,1,1
17,65+,0,0,0,1,1,1,1,1
18,0-19,0,0,0,1,1,1,1,1
18,20-39,0,0,0,1,1,1,1,1
18,40-64,0,0,0,1,1,1,1,1
18,65+,0,0,0,1,1,1,1,1
19,0-19,0,0,0,1,1,1,1,1
19,20-39,0,0,0,1,1,1,1,1
19,40-64,0,0,0,1,1,1,1,1
19,65+,0,0,0,1,1,1,1,1
20,0-19,0,0,0,1,1,1,1,1
20,20-39,0,0,0,1,1,1,1,1
20,40-64,0,0,0,1,1,1,1,1
20,65+,0,0,0,1,1,1,1,1
21,0-19,0,0,0,1,1,1,1,1
21,20-39,0,0,0,1,1,1,1,1
21,40-64,0,0,0,1,1,1,1,1
21,65+,0,0,0,1,1,1,1,1
22,0-19,0,0,0,1,1,1,1,1
22,20-39,0,0,0,1,1,1,1,1
22,40-64,0,0,0,1,1,1,1,1
22,65+,0,0,0,1,1,1,1,1
23,0-19,0,0,0,1,1,1,1,1
23,20-39,0,0,0,1,1,1,1,1
23,40-64,0,0,0,1,1,1,1,1
23,65+,0,0,0,1,1,1,1,1
24,0-19,0,0,0,1,1,1,1,1
24,20-39,0,0,0,1,1,1,1,1
24,40-64,0,0,0,1,1,1,1,1
24,65+,0,0,0,1,1,1,1,1
25,0-19,0,0,0,1,1,1,1,1
25,20-39,0,0,0,1,1,1,1,1
25,40-64,0,0,0,1,1,1,1,1
25,65+,0,0,0,1,1,1,1,1
26,0-19,0,0,0,1,1,1,1,1
26,20-39,0,0,0,1,1,1,1,1
26,40-64,0,0,0,1,1,1,1,1
26,65+,0,0,0,1,1,1,1,1
27,0-19,0,0,0,1,1,1,1,1
27,20-39,0,0,0,1,1,1,1,1
27,40-64,0,0,0,1,1,1,1,1
27,65+,0,0,0,1,1,1,1,1
28,0-19,0,0,0,1,1,1,1,1
28,20-39,0,0,0,1,1,1,1,1
28,40-64,0,0,0,1,1,1,1,1
28,65+,0,0,0,1,1,1,1,1
29,0-19,0,0,0,1,1,1,1,1
29,20-39,0,0,0,1,1,1,1,1
29,40-64,0,0,0,1,1,1,1,1
29,65+,0,0,0,1,1,1,1,1
30,0-19,0,0,0,1,1,1,1,1
30,20-39,0,0,0,1,1,1,1,1
30,40-64,0,0,0,1,1,1,1,1
30,65+,0,0,0,1,1,1,1,1
31,0-19,0,0,0,1,1,1,1,1
31,20-39,0,0,0,1,1,1,1,1
31,40-64,0,0,0,1,1,1,1,1
31,65+,0,0,0,1,1,1,1,1
32,0-19,0,0,0,1,1,1,1,1
32,20-39,0,0,0,1,1,1,1,1
32,40-64,0,0,0,1,1,1,1,1
32,65+,0,0,0,1,1,1,1,1
33,0-19,0,0,0,1,1,1,1,1
33,20-39,0,0,0,1,1,1,1,1
33,40-64,0,0,0,1,1,1,1,1
33,65+,0,0,0,1,1,1,1,1
34,0-19,0,0,0,1,1,1,1,1
34,20-39,0,0,0,1,1,1,1,1
34,40-64,0,0,0,1,1,1,1,1
34,65+,0,0,0,1,1,1,1,1
35,0-19,0,0,0,1,1,1,1,1
35,20-39,0,0,0,1,1,1,1,1
35,40-64,0,0,0,1,1,1,1,1
35,65+,0,0,0,1,1,1,1,1
36,0-19,0,0,0,1,1,1,1,1
36,20-39,0,0,0,1,1,1,1,1
36,40-64,0,0,0,1,1,1,1,1
36,65+,0,0,0,1,1,1,1,1
37,0-19,0,0,0,1,1,1,1,1
37,20-39,0,0,0,1,1,1,1,1
37,40-64,0,0,0,1,1,1,1,1
37,65+,0,0,0,1,1,1,1,1
38,0-19,0,0,0,1,1,1,1,1
38,20-39,0,0,0,1,1,1,1,1
38,40-64,0,0,0,1,1,1,1,1
38,65+,0,0,0,1,1,1,1,1
39,0-19,0,0,0,1,1,1,1,1
39,20-39,0,0,0,1,1,1,1,1
39,40-64,0,0,0,1,1,1,1,1
39,65+,0,0,0,1,1,1,1,1
40,0-19,0,0,0,1,1,1,1,1
40,20-39,0,0,0,1,1,1,1,1
40,40-64,0,0,0,1,1,1,1,1
40,65+,0,0,0,1,1,1,1,1
41,0-19,0,0,0,1,1,1,1,1
41,20-39,0,0,0,1,1,1,1,1
41,40-64,0,0,0,1,1,1,1,1
41,65+,0,0,0,1,1,1,1,1
42,0-19,0,0,0,1,1,1,1,1
42,20-39,0,0,0,1,1,1,1,1
42,40-64,0,0,0,1,1,1,1,1
42,65+,0,0,0,1,1,1,1,1
43,0-19,0,0,0,1,1,1,1,1
43,20-39,0,0,0,1,1,1,1,1
43,40-64,0,0,0,1,1,1,1,1
43,65+,0,0,0,1,1,1,1,1
44,0-19,0,0,0,1,1,1,1,1
44,20-39,0,0,0,1,1,1,1,1
44,40-64,0,0,0,1,1,1,1,1
44,65+,0,0,0,1,1,1,1,1
45,0-19,0,0,0,1,1,1,1,1
45,20-39,0,0,0,1,1,1,1,1
45,40-64,0,0,0,1,1,1,1,1
45,65+,0,0,0,1,1,1,1,1
46,0-19,0,0,0,1,1,1,1,1
46,20-39,0,0,0,1,1,1,1,1
46,40-64,0,0,0,1,1,1,1,1
46,65+,0,0,0,1,1,1,1,1
47,0-19,0,0,0,1,1,1,1,1
47,20-39,0,0,0,1,1,1,1,1
47,40-64,0,0,0,1,1,1,1,1
47,65+,0,0,0,1,1,1,1,1
48,0-19,0,0,0,1,1,1,1,1
48,20-39,0,0,0,1,1,1,1,1
48,40-64,0,0,0,1,1,1,1,1
48,65+,0,0,0,1,1,1,1,1
49,0-19,0,0,0,1,1,1,1,1
49,20-39,0,0,0,1,1,1,1,1
49,40-64,0,0,0,1,1,1,1,1
49,65+,0,0,0,1,1,1,1,1
50,0-19,0,0,0,1,1,1,1,1
50,20-39,0,0,0,1,1,1,1,1
50,40-64,0,0,0,1,1,1,1,1
50,65+,0,0,0,1,1,1,1,1
51,0-19,0,0,0,1,1,1,1,1
51,20-39,0,0,0,1,1,1,1,1
