scenalpha,scen,scenario,LPHA,county,beta,mag1,mag2,mag2a,mag3,mag3a,mag4,mag5,mag6,mag6a,mag6b,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,traj,ef1_2,ef1_3,ef1_4,t1,t2,t2a,t3,t3a,t4,t5,t6,t6a,t6b,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,ttraj,tproject,tschool,tpa,pS1,pS2,pS3,pS4,lambda,hosp1,cc1,hosp2,cc2,hosp3,cc3,hosp4,cc4,kap,pCT,pi,om,pID,temp_on,dh1,dh2,dh3,dh4,dc1,dc2,dc3,dc4,dnh1,dnh2,dnh3,dnh4,hlos1,hlos2,hlos3,hlos4,clos1,clos2,clos3,clos4,n1,n2,n3,n4,Cp
LPHA,1,1,1,,0.3376,0.0212,0,0.6545,0.99,0.7294,0.744,0.6211,0.9653,0.5633,0.2654,0.6418,0.844,0.99,0.4543,0.732,0.5719,0.5331,0.5103,0.5294,0.4818,0.8029,0.7442,0.7066,0.8012,0.6491,0.6491,0.6491,0.6491,0.6491,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,212732,247551,235110,115027,810420
LPHA,1,2,2,,0.303,0,0,0.99,0.99,0.8119,0.2406,0.6813,0.7406,0.6653,0.7817,0.5163,0.9198,0.7107,0.861,0.5667,0.6884,0.4422,0.559,0.0939,0.5546,0.7463,0.6414,0.7818,0.5621,0.9588,0.9588,0.9588,0.9588,0.9588,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,39694,56579,59816,26600,182689
LPHA,1,3,3,,0.2577,0,0,0.2423,0.705,0.6529,0.7591,0.7412,0.5417,0.5429,0.5532,0.99,0.6119,0.225,0.2586,0.5971,0.6278,0.1785,0.3189,0.3192,0.3021,0.3771,0.6591,0.2497,0.6305,0.0901,0.0901,0.0901,0.0901,0.0901,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,9959,10643,14788,7642,43032
LPHA,1,4,4,,0.4102,0,0,0.6712,0.8015,0.7903,0.7328,0.9067,0.8758,0.7381,0.6643,0.7539,0.8308,0.7219,0.7709,0.7123,0.6261,0.6443,0.5609,0.6027,0.6976,0.7933,0.7779,0.7058,0.7557,0.7549,0.7549,0.7549,0.7549,0.7549,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,781805,993164,1059073,457752,3291794
LPHA,1,5,5,,0.3554,0,0,0.3434,0.8426,0.7441,0.8749,0.7277,0.876,0.7844,0.4117,0.8125,0.7685,0.6964,0.6308,0.6522,0.6722,0.6531,0.4276,0.4791,0.6008,0.7011,0.7693,0.7312,0.5911,0.9081,0.9081,0.9081,0.9081,0.9081,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,200376,223385,226804,114700,765265
LPHA,1,6,6,,0.2346,0.01,0.001,0.001,0.7139,0.8302,0.7003,0.3884,0.462,0.5789,0.3558,0.2109,0.7803,0.9622,0.42,0.7756,0.03135,0.2561,0.4632,0.184,0.5585,0.482,0.7892,0.2799,0.7314,0.4549,0.4549,0.4549,0.4549,0.4549,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,50370,51205,62623,39103,203301
LPHA,1,7,7,,0.2043,0.4869,0,0,0,0,0,0,0.6009,0.8822,0.5777,0,0.6998,0.6696,0.6413,0.4707,0.5352,0.0295,0.0799,0.2262,0.2637,0.5773,0.7401,0.3342,0.5766,0.6826,0.6826,0.6826,0.6826,0.6826,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,12707,10931,13668,9166,46472
LPHA,1,8,8,,0.2671,0,0.2,0.7,0.98,0.6647,0.4971,0.7663,0.6411,0.5758,0.2943,0.7314,0.5244,0.6297,0.6079,0.6496,0.4538,0.4289,0.2738,0.125,0.4898,0.597,0.6348,0.5983,0.5977,0.6474,0.6474,0.6474,0.6474,0.6474,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,55518,61585,75058,51035,243196
LPHA,1,9,9,,0.2117,0,0.1241,0.4967,0.6973,0,0.7649,0.6126,0.7201,0.5037,0.4419,0.6389,0.6393,0.4489,0.6085,0.5909,0.0901,0.0593,0.2867,0.011,1.00E-04,0.4356,0.6944,0.1691,0.5191,0.5064,0.5064,0.5064,0.5064,0.5064,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,11296,12281,14261,9100,46938
LPHA,1,10,10,,0.2023,0,0,0,0.4651,0.5609,0.1493,0.6878,0.8136,0.1882,0.3882,0.5101,0.9214,0.4526,0.5901,0.3234,0.3975,0.3934,0.2796,0.4179,0.3578,0.6789,0.0197,0.6146,0.4938,0.9521,0.9521,0.9521,0.9521,0.9521,41,52,59,66,80,94,108,122,136,150,164,178,192,206,220,234,248,262,276,290,304,318,332,346,360,386,260,300,310,0.110023068,0.357051577,0.56120572,0.774879732,1.395,0.01643,0.003964,0.02909127,0.00751899,0.043322,0.0162141,0.072384,0.020153,0,0,0,0,0,0,0,0,0.0045,0.0923,0.0417,0.0392,0.1543,0.3956,7.20E-05,0.000129,0.0011355,0.030285,4.05,5.49,7.36,10.02,6.35,9.91,13.47,10.82,23288,23453,33674,21739,102154
